iter	RMSE
0	0.3147251071
1	0.313287970422	0.312092971433	0.311159344444	0.31041121745	0.3101420948
6	0.3096570289
7	0.3091528863
8	0.308724249
9	0.3083744924
10	0.308091629
11	0.3077991978
12	0.3075560877
13	0.3073317644
14	0.3071139172
15	0.3069180549
16	0.3067270563
17	0.3065636369
18	0.3064376095
19	0.3063275833
20	0.3061755645
21	0.3060582697
22	0.3059405581
23	0.3057463545
24	0.3056054917
25	0.3054962886
26	0.3053255263
27	0.3051964205
28	0.305104054
29	0.3050069984
30	0.3049227323
31	0.304796992
32	0.304728
33	0.3046510305
34	0.3045257425
35	0.3044432299
36	0.304383906
37	0.3043147207
38	0.3042411735
39	0.3041022699
40	0.3040146492
41	0.3039515978
42	0.3038952276
43	0.3038333692
44	0.3037693286
45	0.3037012148
46	0.303593306
47	0.3035437147
48	0.3034684413
49	0.3034222564
50	0.3033242691
51	0.3032895779
52	0.3032049773
53	0.3031247429
54	0.3030427211
55	0.3029945279
56	0.3029330584
57	0.3028541994
58	0.3027841546
59	0.3027549308
60	0.3026712558
61	0.3026301684
62	0.3025310767
63	0.3024790344
64	0.3024279189
65	0.3023775022
66	0.302334748
67	0.3023222179
68	0.3022689932
69	0.3022453627
70	0.3022211063
71	0.3021800774
72	0.3021212476
73	0.3020879756
74	0.3020762718
75	0.3020402828
76	0.3020019943
77	0.3019712913
78	0.3019307213
79	0.3019175804
80	0.301890967
81	0.3018501812
82	0.3017936969
83	0.3017300061
84	0.3017029473
85	0.3016803404
86	0.3016437871
87	0.3015982611
88	0.3015622945
89	0.3015303019
90	0.3014697592
91	0.3014458968
92	0.3014184451
93	0.3013978214
94	0.3013903502
95	0.301365049
96	0.3013297734
97	0.3013115734
98	0.3012774002
99	0.3012521817
100	0.3012159476
101	0.301179818
102	0.3011593816
103	0.3011269049
104	0.3010937075
105	0.3010633134
106	0.3010409904
107	0.3010337961
108	0.3010251997
109	0.3009683175
110	0.3009227309
111	0.3009101092
112	0.3008718317
113	0.3008400594
114	0.3008076547
115	0.3007628731
116	0.3007259299
117	0.3006953978
118	0.3006758979
119	0.3006491556
120	0.3006408619
121	0.3006005569
122	0.30056762
123	0.3005337386
124	0.3005227647
125	0.300483555
126	0.3004751107
127	0.3004565468
128	0.3004339446
129	0.3004018441
130	0.3003831566
131	0.3003751863
132	0.3003499361
133	0.3003218875
134	0.30031122
135	0.3002939515
136	0.3002772433
137	0.3002601572
138	0.3002267122
139	0.3002123957
140	0.3002003747
141	0.3001829738
142	0.3001613256
143	0.3001181161
144	0.3000894554
145	0.3000796482
146	0.3000699597
147	0.3000549482
148	0.3000451514
149	0.3000282658
150	0.3000192154
151	0.3000047133
152	0.2999751778
153	0.2999638302
154	0.2999553811
155	0.2999365684
156	0.2999203255
157	0.2999071954
158	0.2998781168
159	0.2998696963
160	0.2998593083
161	0.2998507802
162	0.2998317398
163	0.2998077626
164	0.2997977635
165	0.2997920863
166	0.2997717085
167	0.2997586261
168	0.2997520259
169	0.2997295824
170	0.2997248902
171	0.2997108159
172	0.2996799632
173	0.2996654973
174	0.299643698
175	0.2996393703
176	0.2996344573
177	0.2996225167
178	0.2995992174
179	0.2995884993
180	0.299581857
181	0.2995595837
182	0.299554729
183	0.2995485187
184	0.2995352141
185	0.2995258404
186	0.299508163
187	0.299496466
188	0.2994687944
189	0.2994565273
190	0.2994446205
191	0.2994234423
192	0192	0.299473193	193	0.2994490194	194	0.2994426195	195	0.2994336196	196	0.2994316197	197	0.2994190198	198	0.2993921199	199	0.299368200	0.2993162762
201	0.2993083778
202	0.2992836922
203	0.2992730704
204	0.2992485914
205	0.2992418102
206	0.2992117939
207	0.2992046049
208	0.2991717362
209	0.2991658641
210	0.2991592922
211	0.2991551613
212	0.2991437837
213	0.2991314287
214	0.2991078301
215	0.2990908776
216	0.2990833624
217	0.2990799818
218	0.2990634906
219	0.2990569553
220	0.2990469495
