iter	Passed	Remaining
0	11	3559
1	20	3113
2	29	2898
3	38	2818
4	47	2820
5	56	2762
6	64	2703
7	72	2651
8	80	2606
9	89	2603
10	97	2571
11	105	2542
12	113	2511
13	121	2490
14	129	2466
15	138	2452
16	146	2433
17	153	2410
18	161	2390
19	169	2376
20	177	2358
21	186	2351
22	194	2338
23	202	2323
24	209	2309
25	218	2298
26	226	2291
27	234	2280
28	243	2271
29	252	2274
30	260	2261
31	268	2248
32	276	2234
33	284	2222
34	292	2211
35	299	2199
36	308	2190
37	316	2179
38	324	2170
39	332	2158
40	340	2148
41	347	2137
42	355	2124
43	363	2115
44	371	2105
45	379	2095
46	387	2085
47	395	2074
48	403	2068
49	411	2057
50	419	2046
51	426	2035
52	434	2023
53	442	2013
54	450	2006
55	458	1999
56	466	1990
57	474	1979
58	482	1970
59	490	1961
60	499	1955
61	506	1946
62	514	1935
63	522	1925
64	529	1914
65	538	1910
66	546	1899
67	554	1890
68	561	1880
69	569	1870
70	577	1863
71	585	1854
72	593	1844
73	600	1833
74	608	1825
75	615	1814
76	623	1804
77	631	1796
78	638	1787
79	646	1778
80	653	1767
81	662	1762
82	671	1754
83	678	1745
84	686	1736
85	694	1728
86	701	1718
87	709	1709
88	717	1701
89	725	1692
90	733	1684
91	740	1675
92	748	1666
93	757	1658
94	763	1647
95	770	1637
96	778	1628
97	786	1620
98	793	1611
99	801	1602
100	808	1593
101	816	1584
102	824	1576
103	832	1569
104	840	1561
105	849	1554
106	857	1546
107	868	1544
108	877	1538
109	885	1529
110	893	1521
111	900	1511
112	908	1503
113	913	1490
114	921	1481
115	929	1473
116	936	1465
117	944	1456
118	952	1448
119	960	1440
120	967	1431
121	975	1423
122	983	1414
123	990	1405
124	997	1396
125	1005	1388
126	1013	1380
127	1021	1372
128	1029	1364
129	1037	1356
130	1045	1348
131	1052	1339
132	1060	1331
133	1069	1324
134	1077	1316
135	1085	1308
136	1092	1299
137	1100	1291
138	1107	1282
139	1115	1274
140	1123	1266
141	1133	1261
142	1141	1253
143	1148	1244
144	1156	1236
145	1164	1228
146	1172	1220
147	1182	1214
148	1190	1206
149	1197	1197
150	1205	1189
151	1212	1181
152	1220	1172
153	1227	1163
154	1234	1154
155	1242	1147
156	1250	1139
157	1258	1131
158	1267	1124
159	1277	1118
160	1286	1110
161	1294	1102
162	1301	1093
163	1308	1084
164	1316	1076
165	1323	1068
166	1331	1060
167	1340	1052
168	1347	1044
169	1355	1036
170	1363	1028
171	1371	1020
172	1379	1012
173	1388	1005
174	1395	997
175	1404	989
176	1414	982
177	1422	974
178	1429	966
179	1436	957
180	1444	950
181	1452	941
182	1461	934
183	1469	926
184	1478	919
185	1486	911
186	1493	902
187	1502	894
188	1509	886
189	1517	878
190	1524	870
191	1531	861
192	1538	853
193	1546	844
194	1554	836
195	1562	829
196	1570	820
197	1578	813
198	1585	804
199	1593	796
200	1601	788
201	1608	780
202	1615	772
203	1623	764
204	1631	755
205	1638	747
206	1646	739
207	1653	731
208	1661	723
209	1669	715
210	1677	707
211	1685	699
212	1693	691
213	1701	683
214	1709	675
215	1717	667
216	1725	660
217	1732	651
218	1740	643
219	1747	635
220	1755	627
221	1763	619
222	1771	611
223	1778	603
224	1786	595
225	1794	587
226	1802	579
227	1809	571
228	1816	563
229	1824	555
230	1831	547
231	1838	538
232	1846	530
233	1854	522
234	1862	515
235	1869	507
236	1877	499
237	1886	491
238	1894	483
239	1901	475
240	1909	467
241	1917	459
242	1924	451
243	1932	443
244	1940	435
245	1948	427
246	1955	419
247	1963	411
248	1971	403
249	1978	395
250	1986	387
251	1994	379
252	2001	371
253	2008	363
254	2016	355
255	2025	348
256	2032	340
257	2040	332
258	2047	324
259	2054	316
260	2062	308
261	2070	300
262	2078	292
263	2087	284
264	2095	276
265	2102	268
266	2110	260
267	2117	252
268	2125	244
269	2133	237
270	2140	229
271	2148	221
272	2155	213
273	2163	205
274	2171	197
275	2178	189
276	2184	181
277	2192	173
278	2201	165
279	2209	157
280	2216	149
281	2224	141
282	2231	134
283	2239	126
284	2246	118
285	2254	110
286	2262	102
287	2270	94
288	2278	86
289	2287	78
290	2295	70
291	2303	63
292	2311	55
293	2318	47
294	2327	39
295	2334	31
296	2342	23
297	2350	15
298	2358	7
299	2366	0
